NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD
34,2,25000,18200,30000,17675.08432,30000,62400,-1524.91568,350000,135000,0,80000
173,4,14500,0,4000,8000,0,25100,1400,200000,0,0,50000
375,4,0,7800,0,6100,0,13300,600,136350,0,0,2000
465,2,17493.62466,0,30000,9581.557159,16500,48293.62466,-7718.442841,202000,121463.1542,0,25000
629,2,33700,21580,17000,10049.60932,1500,21600,59229.60932,200000,160000,0,18000
632,2,34500,4800,0,17547.34703,1000,27600,28247.34703,351000,88300,0,12000
633,2,0,14300,0,5151.296165,800,16800,1851.296165,91000,15000,0,5000
923,4,0,5850,0,6024.891699,0,13200,-1325.108301,303000,3000,0,6000
1238,4,0,11040,0,4800,0,15600,240,70500,0,0,3000
1367,4,0,11427,0,3600,0,13200,1827,73000,0,0,3500
1763,4,4000,0,0,1882.97233,0,6600,-717.02767,35500,10000,0,3000
1826,2,0,9672,0,6082.97233,0,15600,154.97233,100500,10000,0,500
1927,2,14284,8840,2150,731.276741,2000,21070,2935.276741,3000,51427,0,12000
1946,2,0,15779,0,149.350194,0,11904,4024.350194,1000,18000,0,2000
2178,3,0,14616,0,12099.5668,0,24000,2715.566796,503000,12000,0,2500
2274,4,0,12350,0,3400,0,13000,2750,159000,0,0,5000
2447,3,40000,0,0,4866.377864,0,16800,28066.37786,340000,8000,0,25000
2485,3,0,6708,0,6000,0,12192,516,200500,0,0,15000
2886,4,49940,-12000,0,4220.743083,700,46340,-4879.256917,220000,2500,0,45000
3717,4,0,0,4000,2.329555666,0,9600,-5597.670444,2000,280.7629563,0,4100
4297,2,0,10140,0,2523.372439,0,7200,5463.372439,101000,14869.10621,0,15000
4370,2,62000,0,0,19983.3185,0,48000,33983.3185,805000,75000,0,45000
4732,5,6000,0,0,1200,0,7200,0,80500,0,0,2300
5416,2,24700,1500,0,41.486165,0,10200,16041.48617,3000,5000,0,10000
7097,3,15600,0,4500,6024.891699,0,21600,4524.891699,55000,3000,0,20000
7098,3,0,11180,15000,7410.777699,0,19200,14390.7777,133000,9000,6000,15000
7165,1,15700,8000,0,4841.486165,0,28800,-258.513835,253000,5000,0,11500
7886,3,30000,0,0,12439.97525,1300,42000,-860.024748,454000,35803.2033,0,28000
8332,4,0,7800,0,58.080631,0,7200,658.080631,2000,7000,0,6000
8954,4,42300,0,0,18576.48364,0,42500,18376.48364,790000,2300,20000,38000
8955,4,0,15600,0,10444.39173,0,21600,4444.391726,415000,101767.8696,0,12000
11940,1,0,23205,0,6258.080631,6900,20600,1963.080631,177000,7000,0,17000
11972,4,0,11700,10000,7300,0,13300,15700,553000,0,10000,25000
20020,2,29500,3100,0,2441.486165,0,24000,11041.48617,133000,5000,0,15000
20028,2,0,17082,0,8007.930386,0,21600,3489.930386,250000,242000,0,5000
20154,1,23000,25200,0,18715.89124,0,36700,30215.89124,488000,1915.245951,5000,20000
20170,1,0,18980,0,1023.375319,300,17280,2423.375319,1000,41322.48776,0,11000
20174,2,0,24830,0,7659.584921,0,29000,3489.584921,230000,12315.27433,0,40000
20179,2,61200,0,0,8057.49733,0,37200,32057.49733,765000,35000,0,22000
20223,1,0,20800,24000,5051.28332,0,10800,39051.28332,140000,81240.10848,0,37000
20231,2,8400,0,40000,9701.736495,1000,19200,37901.7365,203000,53300,1000,45000
20241,1,0,24700,0,15717.83919,0,22800,17617.83919,515000,139611.1672,0,50000
20284,2,12000,0,20000,6665.254782,0,48000,-9334.745219,303000,25500,0,40000
20297,2,13000,0,0,41.486165,130,16200,-3288.513835,7500,5000,0,12100
20372,2,8000,15600,1800,8254.971475,4000,21600,8054.971475,249296.9829,58800,5000,18500
20375,2,0,19500,0,7820.743083,0,22200,5120.743083,146000,2500,0,19000
20393,2,26250,0,0,3791.486165,4000,19250,6791.486165,217000,5000,3000,29000
20499,1,0,23400,0,8016.011165,0,19200,12216.01117,360000,30000,0,15000
20704,2,0,11616,35000,11742.91858,0,36000,22358.91858,190000,189875.8532,0,90000
20711,2,22000,22600,0,14412.44585,3000,50400,5612.44585,1005000,1500,0,30000
20767,3,18000,7150,0,8868.236796,0,18600,15418.2368,252500,82000,0,21000
20837,2,0,47866,0,17008.29723,1800,15600,47474.29723,462000,1000,0,5000
20839,2,21000,0,0,27834.715,0,36950,11884.715,1013600,15000,0,35000
20944,1,49000,0,0,9007.032743,36000,34500,-12492.96726,219300,12106.90566,15000,53000
21368,3,0,36400,0,10893.17202,2000,39600,5693.172015,320000,46500,0,30000
21384,5,0,0,12000,1216.594466,0,13200,16.594466,130500,2000,0,6000
21453,1,0,8216,15000,12719.87668,1150,26900,7885.876675,850150,26500,55000,45000
21461,2,0,7410,0,3624.891699,0,9600,1434.891699,200500,3000,0,3000
21464,2,0,17424,0,1304.794053,0,7200,11528.79405,51000,12630,0,2300
21466,2,0,28190,0,5204.960932,0,9600,23794.96093,20800,16000,0,9000
21472,2,0,12350,0,4974.675097,0,16300,1024.675097,188000,9000,0,14000
21474,2,46000,0,0,12570.3711,13000,37000,8570.371097,308000,25000,12000,45000
22074,4,17550,0,0,6112.012646,0,19200,4462.012646,207000,13500,0,18000
22099,4,0,0,14400,4808.297233,0,19200,8.297233,66500,1000,0,3500
22168,4,0,11000,0,0,0,10200,800,1000,0,500,8000
22169,4,0,8160,0,6000,0,13800,360,152000,0,0,9000
22173,4,7200,9100,0,0,0,12000,4300,4000,0,0,13500
22208,2,0,29640,0,9264.04466,0,20400,18504.04466,202000,120000,0,6500
22222,2,0,12350,0,7737.71666,0,16800,3287.71666,250300,32000,0,10000
22225,2,0,18200,42000,25311.24063,33100,50100,2311.240631,645000,367000,0,93000
22251,2,0,16700,0,3824.025291,0,15600,4924.025291,164000,27000,0,6000
22262,2,0,35400,0,22282.97233,0,40200,17482.97233,795000,10000,0,25000
22263,2,16000,10550,0,1892.048932,11000,17400,42.048932,3000,64000,0,10000
22266,2,0,8450,0,15400.72617,400,21600,1850.726165,692040,45000,0,2000
22272,2,0,19877,2500,7566.217194,0,21600,8343.217194,125000,25000,0,2500
22273,2,0,17940,0,6504.288837,0,20400,4044.288837,302000,19769.52223,0,6000
22274,2,0,16900,0,430.3731356,14000,13920,-10589.62686,3000,38200,8000,25000
22276,2,15000,13650,0,4230.872815,250,15000,17630.87282,110000,80000,0,13000
22277,2,13000,0,13000,4244.511699,13000,25200,-7955.488301,35000,23000,0,33000
22278,2,30800,0,0,5598.155492,6000,23400,6998.155492,121000,20540.78228,1500,26000
