NQUEST,ANASC,ETA,Q
34,1943,61,2
34,1944,60,3
173,1948,56,1
173,1950,54,2
173,1975,29,3
173,1978,26,3
375,1925,79,3
465,1954,50,2
465,1956,48,3
465,1976,28,1
465,1981,23,3
629,1939,65,2
629,1969,35,1
629,1970,34,1
629,1915,89,3
632,1950,54,1
632,1952,52,3
632,1976,28,1
632,1983,21,3
633,1934,70,3
923,1932,72,3
1238,1937,67,3
1367,1927,77,3
1367,1930,74,3
1763,1947,57,3
1763,1954,50,1
1826,1929,75,3
1826,1930,74,3
1927,1933,71,3
1927,1974,30,1
1946,1953,51,3
1946,1920,84,3
1946,1939,65,3
2178,1933,71,3
2178,1928,76,3
2274,1928,76,3
2274,1927,77,3
2447,1957,47,1
2447,1958,46,1
2447,1981,23,1
2447,1985,19,3
2485,1935,69,3
2886,1949,55,1
2886,1952,52,1
2886,1977,27,1
2886,1983,21,1
3717,1954,50,2
4297,1915,89,3
4297,1914,90,3
4370,1949,55,1
4370,1952,52,1
4370,1976,28,1
4370,1978,26,3
4732,1950,54,1
5416,1958,46,1
5416,1979,25,1
5416,1981,23,1
5416,1991,13,3
7097,1954,50,3
7097,1957,47,1
7097,1979,25,2
7097,1986,18,3
7098,1942,62,2
7098,1971,33,3
7165,1956,48,3
7165,1956,48,1
7165,1980,24,1
7886,1950,54,1
7886,1953,51,3
8332,1920,84,3
8954,1957,47,1
8954,1957,47,1
8954,1986,18,3
8954,1994,10,3
8955,1927,77,3
11940,1941,63,3
11940,1946,58,3
11972,1938,66,3
11972,1948,56,2
20020,1955,49,1
20020,1959,45,1
20020,1981,23,3
20028,1935,69,3
20154,1946,58,3
20154,1947,57,3
20154,1979,25,1
20154,1974,30,1
20170,1932,72,3
20170,1933,71,3
20174,1941,63,3
20174,1942,62,3
20179,1953,51,1
20179,1954,50,1
20179,1978,26,3
20179,1981,23,3
20179,1984,20,1
20223,1939,65,3
20223,1938,66,3
20223,1971,33,2
20231,1949,55,2
20231,1953,51,2
20231,1979,25,1
20241,1935,69,3
20284,1956,48,1
20284,1955,49,2
20284,1980,24,3
20284,1984,20,3
20284,1992,12,3
20297,1960,44,1
20372,1947,57,3
20372,1948,56,2
20372,1972,32,1
20375,1944,60,3
20375,1946,58,3
20393,1953,51,1
20393,1955,49,3
20393,1985,19,3
20393,1988,16,3
20393,1990,14,3
20499,1930,74,3
20499,1921,83,3
20704,1937,67,3
20704,1942,62,2
20711,1945,59,3
20711,1944,60,3
20711,1977,27,1
20711,1980,24,3
20767,1952,52,1
20767,1952,52,3
20767,1920,84,3
20767,1978,26,3
20767,1984,20,3
20837,1928,76,3
20837,1931,73,3
20839,1954,50,1
20839,1957,47,3
20944,1958,46,1
20944,1956,48,1
20944,1994,10,3
21368,1940,64,3
21368,1947,57,3
21368,1979,25,3
21384,1958,46,2
21384,1962,42,3
21384,1982,22,3
21384,1989,15,3
21453,1937,67,3
21453,1976,28,2
21461,1918,86,3
21464,1920,84,3
21464,1927,77,3
21466,1940,64,3
21472,1940,64,3
21472,1948,56,3
21474,1950,54,1
21474,1955,49,1
22074,1955,49,1
22074,1962,42,3
22074,1985,19,3
22074,1990,14,3
22099,1958,46,2
22099,1962,42,3
22099,1982,22,3
22099,1985,19,3
22099,1987,17,3
22168,1958,46,3
22168,1956,48,3
22168,1985,19,3
22169,1944,60,3
22169,1937,67,3
22169,1973,31,3
22173,1938,66,3
22173,1935,69,3
22173,1975,29,1
22208,1921,83,3
22208,1935,69,3
22222,1927,77,3
22225,1939,65,2
22225,1943,61,3
22251,1928,76,3
22251,1930,74,3
22262,1941,63,3
22262,1946,58,3
22263,1931,73,3
22263,1960,44,1
22266,1926,78,3
22266,1926,78,3
22272,1944,60,3
22272,1941,63,3
22273,1921,83,3
22273,1924,80,3
22274,1947,57,3
22274,1945,59,3
22276,1949,55,1
22276,1923,81,3
22276,1924,80,3
22277,1957,47,1
22277,1958,46,2
22277,1989,15,3
22278,1953,51,1
22278,1951,53,1
22278,1985,19,3
22279,1954,50,2
22279,1982,22,3
22279,1986,18,3
22286,1950,54,3
22286,1956,48,1
22292,1935,69,3
22292,1929,75,3
22353,1949,55,3
22353,1947,57,3
22353,1987,17,3
22509,1931,73,3
22509,1937,67,3
22509,1963,41,3
22509,1969,35,3
22509,1974,30,1
22516,1955,49,1
22516,1948,56,3
22516,1976,28,1
22624,1961,43,3
22624,1957,47,1
22624,1981,23,3
22624,1984,20,3
22624,1995,9,3
22624,1997,7,3
22657,1951,53,1
22657,1974,30,3
22657,1946,58,1
22807,1952,52,3
22807,1957,47,3
22807,1981,23,1
22807,1984,20,1
22807,1986,18,3
22807,1989,15,3
22850,1949,55,1
22850,1920,84,3
22891,1925,79,3
22995,1943,61,3
22995,1946,58,3
22996,1934,70,3
22996,1942,62,3
23193,1930,74,3
23267,1981,23,3
23267,1957,47,1
23267,1959,45,1
23267,1981,23,3
23267,1984,20,3
23367,1924,80,3
23370,1942,62,3
23370,1942,62,3
23384,1931,73,3
23384,1934,70,3
23386,1961,43,1
23386,1956,48,1
23386,1983,21,1
23386,1990,14,3
23490,1937,67,3
23552,1947,57,1
23552,1950,54,1
23552,1980,24,1
23552,1985,19,3
23683,1946,58,1
23683,1946,58,3
23797,1955,49,1
23797,1958,46,3
23797,1985,19,1
23797,1989,15,3
23798,1941,63,3
23798,1945,59,3
23798,1971,33,1
23821,1936,68,3
23821,1968,36,3
23823,1937,67,3
23823,1933,71,3
23823,1972,32,1
23823,1977,27,3
23865,1944,60,3
23865,1950,54,3
23865,1972,32,3
23986,1929,75,3
23986,1935,69,3
23986,1962,42,2
24010,1936,68,3
24010,1934,70,3
24080,1966,38,1
24080,1962,42,1
24080,1986,18,3
24080,1987,17,3
24085,1933,71,3
24138,1950,54,3
24138,1947,57,3
24138,1978,26,1
24147,1948,56,1
24147,1958,46,1
24147,1980,24,3
24147,1985,19,3
24149,1923,81,3
24158,1935,69,3
24171,1939,65,3
24194,1952,52,1
24194,1960,44,3
24194,1984,20,3
24194,1990,14,3
24195,1952,52,3
24195,1936,68,3
24195,1976,28,1
24202,1930,74,3
24202,1934,70,3
24202,1964,40,1
24304,1944,60,1
24304,1947,57,1
24304,1972,32,1
24304,1976,28,2
24308,1927,77,3
24308,1939,65,3
24308,1965,39,1
24312,1943,61,1
24312,1975,29,2
24312,1978,26,3
24322,1948,56,3
24322,1949,55,3
24322,1980,24,3
24326,1924,80,3
24326,1919,85,3
24374,1923,81,3
24374,1957,47,3
24374,1978,26,3
24374,1981,23,3
24379,1939,65,3
24382,1940,64,3
24382,1949,55,3
24390,1940,64,3
24390,1944,60,1
24390,1976,28,3
24393,1931,73,3
24393,1920,84,3
24409,1945,59,3
24409,1952,52,3
24409,1977,27,3
24409,1980,24,1
24446,1924,80,3
24446,1951,53,3
24529,1947,57,1
24529,1951,53,3
24529,1978,26,1
24529,1981,23,1
24529,1983,21,3
24571,1934,70,3
24571,1931,73,3
24616,1939,65,3
24616,1944,60,3
24760,1920,84,3
24764,1966,38,3
24764,1963,41,1
24764,1996,8,3
24764,1998,6,3
24809,1939,65,3
24809,1930,74,3
24853,1957,47,1
24853,1962,42,1
24853,1986,18,3
24853,1991,13,3
24885,1933,71,3
24909,1915,89,3
24909,1922,82,3
24912,1960,44,1
24912,1960,44,1
24924,1960,44,2
24924,1964,40,3
24924,1989,15,3
24924,1991,13,3
24984,1956,48,3
24984,1954,50,1
24984,1980,24,3
24984,1924,80,3
25007,1937,67,3
25007,1934,70,3
25138,1950,54,3
25138,1956,48,3
25138,1983,21,3
25148,1950,54,1
25148,1962,42,2
25148,1985,19,3
25238,1944,60,3
25238,1946,58,3
25245,1968,36,3
25245,1971,33,1
25245,1988,16,3
25245,1995,9,3
25373,1927,77,3
25373,1934,70,3
25373,1970,34,1
25435,1956,48,1
25435,1964,40,1
25435,1999,5,3
25625,1925,79,3
25723,1959,45,1
25727,1943,61,3
25727,1969,35,2
25760,1959,45,3
25760,1959,45,1
25760,1985,19,3
25760,1991,13,3
